pickup_date,pickup_month,dispatching_base,base_name,active_vehicles,trips
2015-02-04,2015-02,B02764,Danach-NY,3856,29994
2015-02-04,2015-02,B02765,Grun,309,2334
2015-02-05,2015-02,B02512,Unter,264,2022
2015-02-05,2015-02,B02598,Hinter,1179,11609
2015-02-05,2015-02,B02617,Weiter,1524,14499
2015-02-05,2015-02,B02682,Schmecken,1418,13782
2015-02-05,2015-02,B02764,Danach-NY,4093,35990
2015-02-05,2015-02,B02765,Grun,355,3011
2015-02-06,2015-02,B02512,Unter,261,1989
2015-02-06,2015-02,B02598,Hinter,1181,11897
2015-02-06,2015-02,B02617,Weiter,1526,15417
2015-02-06,2015-02,B02682,Schmecken,1414,14375
2015-02-06,2015-02,B02764,Danach-NY,4170,38693
2015-02-06,2015-02,B02765,Grun,385,3569
2015-02-07,2015-02,B02512,Unter,211,1504
2015-02-07,2015-02,B02598,Hinter,1031,10512
2015-02-07,2015-02,B02617,Weiter,1383,13688
2015-02-07,2015-02,B02682,Schmecken,1300,13450
2015-02-07,2015-02,B02764,Danach-NY,3849,38530
2015-02-07,2015-02,B02765,Grun,345,3473
2015-02-08,2015-02,B02512,Unter,176,1196
2015-02-08,2015-02,B02598,Hinter,923,8129
2015-02-08,2015-02,B02617,Weiter,1256,11004
2015-02-08,2015-02,B02682,Schmecken,1136,10356
2015-02-08,2015-02,B02764,Danach-NY,3422,29692
2015-02-08,2015-02,B02765,Grun,313,2623
2015-02-09,2015-02,B02512,Unter,228,1565
2015-02-09,2015-02,B02598,Hinter,976,8135
2015-02-09,2015-02,B02617,Weiter,1312,10887
2015-02-09,2015-02,B02682,Schmecken,1241,10209
2015-02-09,2015-02,B02764,Danach-NY,3543,28266
2015-02-09,2015-02,B02765,Grun,388,2894
2015-02-10,2015-02,B02512,Unter,233,1555
2015-02-10,2015-02,B02598,Hinter,1029,8718
2015-02-10,2015-02,B02617,Weiter,1364,11401
2015-02-10,2015-02,B02682,Schmecken,1281,10536
2015-02-10,2015-02,B02764,Danach-NY,3700,29124
2015-02-10,2015-02,B02765,Grun,422,3432
2015-02-11,2015-02,B02512,Unter,255,1831
2015-02-11,2015-02,B02598,Hinter,1115,10034
2015-02-11,2015-02,B02617,Weiter,1450,12749
2015-02-11,2015-02,B02682,Schmecken,1396,12189
2015-02-11,2015-02,B02764,Danach-NY,3849,31889
2015-02-11,2015-02,B02765,Grun,450,3778
2015-02-12,2015-02,B02512,Unter,269,2092
2015-02-12,2015-02,B02598,Hinter,1181,11640
2015-02-12,2015-02,B02617,Weiter,1532,14263
2015-02-12,2015-02,B02682,Schmecken,1468,13786
2015-02-12,2015-02,B02764,Danach-NY,4137,36844
2015-02-12,2015-02,B02765,Grun,536,4609
2015-02-13,2015-02,B02512,Unter,281,2408
2015-02-13,2015-02,B02598,Hinter,1216,13062
2015-02-13,2015-02,B02617,Weiter,1590,16996
2015-02-13,2015-02,B02682,Schmecken,1523,16088
2015-02-13,2015-02,B02764,Danach-NY,4395,43561
2015-02-13,2015-02,B02765,Grun,599,5909
2015-02-14,2015-02,B02512,Unter,236,2055
2015-02-14,2015-02,B02598,Hinter,1111,12678
2015-02-14,2015-02,B02617,Weiter,1486,16999
2015-02-14,2015-02,B02682,Schmecken,1428,16448
2015-02-14,2015-02,B02764,Danach-NY,4129,45858
2015-02-14,2015-02,B02765,Grun,583,6307
2015-02-15,2015-02,B02512,Unter,210,1996
2015-02-15,2015-02,B02598,Hinter,1003,11517
2015-02-15,2015-02,B02617,Weiter,1293,14662
2015-02-15,2015-02,B02682,Schmecken,1261,14517
2015-02-15,2015-02,B02764,Danach-NY,3651,41209
2015-02-15,2015-02,B02765,Grun,521,5500
2015-02-16,2015-02,B02512,Unter,207,1576
2015-02-16,2015-02,B02598,Hinter,934,9052
2015-02-16,2015-02,B02617,Weiter,1214,11824
2015-02-16,2015-02,B02682,Schmecken,1164,11323
2015-02-16,2015-02,B02764,Danach-NY,3524,33448
2015-02-16,2015-02,B02765,Grun,508,4875
2015-02-17,2015-02,B02512,Unter,241,1797
2015-02-17,2015-02,B02598,Hinter,1066,9463
2015-02-17,2015-02,B02617,Weiter,1378,12524
2015-02-17,2015-02,B02682,Schmecken,1314,11887
2015-02-17,2015-02,B02764,Danach-NY,3826,32473
