weekday_num,weekday,hour,base,base_name,trips
2,Wednesday,21,B02617,Weiter,14514
2,Wednesday,21,B02682,Schmecken,11969
2,Wednesday,21,B02764,Danach-NY,2030
2,Wednesday,22,B02512,Unter,1398
2,Wednesday,22,B02598,Hinter,10207
2,Wednesday,22,B02617,Weiter,11077
2,Wednesday,22,B02682,Schmecken,8654
2,Wednesday,22,B02764,Danach-NY,1532
2,Wednesday,23,B02512,Unter,693
2,Wednesday,23,B02598,Hinter,5559
2,Wednesday,23,B02617,Weiter,6025
2,Wednesday,23,B02682,Schmecken,5071
2,Wednesday,23,B02764,Danach-NY,798
3,Thursday,0,B02512,Unter,325
3,Thursday,0,B02598,Hinter,2824
3,Thursday,0,B02617,Weiter,3113
3,Thursday,0,B02682,Schmecken,2536
3,Thursday,0,B02764,Danach-NY,495
3,Thursday,1,B02512,Unter,193
3,Thursday,1,B02598,Hinter,1535
3,Thursday,1,B02617,Weiter,1804
3,Thursday,1,B02682,Schmecken,1511
3,Thursday,1,B02764,Danach-NY,247
3,Thursday,2,B02512,Unter,137
3,Thursday,2,B02598,Hinter,1114
3,Thursday,2,B02617,Weiter,1227
3,Thursday,2,B02682,Schmecken,1031
3,Thursday,2,B02764,Danach-NY,210
3,Thursday,3,B02512,Unter,204
3,Thursday,3,B02598,Hinter,1774
3,Thursday,3,B02617,Weiter,1787
3,Thursday,3,B02682,Schmecken,1597
3,Thursday,3,B02764,Danach-NY,275
3,Thursday,4,B02512,Unter,277
3,Thursday,4,B02598,Hinter,2635
3,Thursday,4,B02617,Weiter,2680
3,Thursday,4,B02682,Schmecken,2516
3,Thursday,4,B02764,Danach-NY,397
3,Thursday,5,B02512,Unter,546
3,Thursday,5,B02598,Hinter,4218
3,Thursday,5,B02617,Weiter,4493
3,Thursday,5,B02682,Schmecken,4249
3,Thursday,5,B02764,Danach-NY,663
3,Thursday,6,B02512,Unter,1186
3,Thursday,6,B02598,Hinter,8143
3,Thursday,6,B02617,Weiter,8347
3,Thursday,6,B02682,Schmecken,8138
3,Thursday,6,B02764,Danach-NY,1251
3,Thursday,7,B02512,Unter,1696
3,Thursday,7,B02598,Hinter,11200
3,Thursday,7,B02617,Weiter,11510
3,Thursday,7,B02682,Schmecken,10806
3,Thursday,7,B02764,Danach-NY,1826
3,Thursday,8,B02512,Unter,1564
3,Thursday,8,B02598,Hinter,10863
3,Thursday,8,B02617,Weiter,10898
3,Thursday,8,B02682,Schmecken,10222
3,Thursday,8,B02764,Danach-NY,1884
3,Thursday,9,B02512,Unter,1301
3,Thursday,9,B02598,Hinter,8477
3,Thursday,9,B02617,Weiter,8659
