pickup_date,pickup_month,company,trips
2016-12-22,2016-12,Uber,113941
2016-12-23,2016-12,Uber,104810
2016-12-24,2016-12,Uber,97973
2016-12-25,2016-12,Uber,75235
2016-12-26,2016-12,Uber,71310
2016-12-27,2016-12,Uber,78796
2016-12-28,2016-12,Uber,89295
2016-12-29,2016-12,Uber,101395
2016-12-30,2016-12,Uber,110208
2016-12-31,2016-12,Uber,134291
2017-01-01,2017-01,Uber,137706
2017-01-02,2017-01,Uber,84476
2017-01-03,2017-01,Uber,93676
2017-01-04,2017-01,Uber,90413
2017-01-05,2017-01,Uber,99602
2017-01-06,2017-01,Uber,116286
2017-01-07,2017-01,Uber,132555
2017-01-08,2017-01,Uber,124322
2017-01-09,2017-01,Uber,109886
2017-01-10,2017-01,Uber,102674
2017-01-11,2017-01,Uber,106467
2017-01-12,2017-01,Uber,109755
2017-01-13,2017-01,Uber,123107
2017-01-14,2017-01,Uber,145559
2017-01-15,2017-01,Uber,128557
2017-01-16,2017-01,Uber,96640
2017-01-17,2017-01,Uber,117356
2017-01-18,2017-01,Uber,106279
2017-01-19,2017-01,Uber,112494
2017-01-20,2017-01,Uber,125670
2017-01-21,2017-01,Uber,126890
2017-01-22,2017-01,Uber,118883
2017-01-23,2017-01,Uber,120063
2017-01-24,2017-01,Uber,122266
2017-01-25,2017-01,Uber,109231
2017-01-26,2017-01,Uber,119173
2017-01-27,2017-01,Uber,129661
2017-01-28,2017-01,Uber,145683
2017-01-29,2017-01,Uber,116421
2017-01-30,2017-01,Uber,86904
2017-01-31,2017-01,Uber,93315
2017-02-01,2017-02,Uber,94078
2017-02-02,2017-02,Uber,103186
2017-02-03,2017-02,Uber,123250
2017-02-04,2017-02,Uber,138296
2017-02-05,2017-02,Uber,126488
2017-02-06,2017-02,Uber,96517
2017-02-07,2017-02,Uber,106563
2017-02-08,2017-02,Uber,105277
2017-02-09,2017-02,Uber,91560
2017-02-10,2017-02,Uber,138722
2017-02-11,2017-02,Uber,148070
2017-02-12,2017-02,Uber,137604
2017-02-13,2017-02,Uber,103437
2017-02-14,2017-02,Uber,117693
2017-02-15,2017-02,Uber,114033
2017-02-16,2017-02,Uber,107697
2017-02-17,2017-02,Uber,122649
2017-02-18,2017-02,Uber,124412
2017-02-19,2017-02,Uber,117881
2017-02-20,2017-02,Uber,92051
2017-02-21,2017-02,Uber,91704
2017-02-22,2017-02,Uber,96023
2017-02-23,2017-02,Uber,104953
2017-02-24,2017-02,Uber,113823
2017-02-25,2017-02,Uber,137349
2017-02-26,2017-02,Uber,118263
2017-02-27,2017-02,Uber,97206
2017-02-28,2017-02,Uber,97872
2017-03-01,2017-03,Uber,105589
2017-03-02,2017-03,Uber,119753
2017-03-03,2017-03,Uber,132474
2017-03-04,2017-03,Uber,157423
2017-03-05,2017-03,Uber,129408
2017-03-06,2017-03,Uber,100876
2017-03-07,2017-03,Uber,105181
2017-03-08,2017-03,Uber,104468
2017-03-09,2017-03,Uber,115408
2017-03-10,2017-03,Uber,134134
2017-03-11,2017-03,Uber,151824
2017-03-12,2017-03,Uber,128734
2017-03-13,2017-03,Uber,113173
2017-03-14,2017-03,Uber,57644
2017-03-15,2017-03,Uber,121736
2017-03-16,2017-03,Uber,124401
2017-03-17,2017-03,Uber,123511
2017-03-18,2017-03,Uber,145298
2017-03-19,2017-03,Uber,116590
2017-03-20,2017-03,Uber,95251
2017-03-21,2017-03,Uber,94303
2017-03-22,2017-03,Uber,113015
2017-03-23,2017-03,Uber,115077
2017-03-24,2017-03,Uber,118903
2017-03-25,2017-03,Uber,133665
2017-03-26,2017-03,Uber,117109
2017-03-27,2017-03,Uber,95905
2017-03-28,2017-03,Uber,113038
2017-03-29,2017-03,Uber,100079
2017-03-30,2017-03,Uber,111960
2017-03-31,2017-03,Uber,151130
2017-04-01,2017-04,Uber,116284
2017-04-02,2017-04,Uber,63410
2017-04-03,2017-04,Uber,96091
2017-04-04,2017-04,Uber,106116
2017-04-05,2017-04,Uber,107168
2017-04-06,2017-04,Uber,127816
2017-04-07,2017-04,Uber,126467
2017-04-08,2017-04,Uber,136344
2017-04-09,2017-04,Uber,118748
2017-04-10,2017-04,Uber,90486
2017-04-11,2017-04,Uber,92781
2017-04-12,2017-04,Uber,98885
2017-04-13,2017-04,Uber,106509
2017-04-14,2017-04,Uber,108019
2017-04-15,2017-04,Uber,116038
2017-04-16,2017-04,Uber,103625
2017-04-17,2017-04,Uber,84876
2017-04-18,2017-04,Uber,90740
2017-04-19,2017-04,Uber,104869
2017-04-20,2017-04,Uber,112029
2017-04-21,2017-04,Uber,125450
2017-04-22,2017-04,Uber,131068
2017-04-23,2017-04,Uber,114886
2017-04-24,2017-04,Uber,95440
2017-04-25,2017-04,Uber,122202
2017-04-26,2017-04,Uber,106231
2017-04-27,2017-04,Uber,113877
2017-04-28,2017-04,Uber,119164
2017-04-29,2017-04,Uber,133723
2017-04-30,2017-04,Uber,117368
2017-05-01,2017-05,Uber,93933
2017-05-02,2017-05,Uber,99865
2017-05-03,2017-05,Uber,103712
2017-05-04,2017-05,Uber,112330
2017-05-05,2017-05,Uber,139923
2017-05-06,2017-05,Uber,139168
2017-05-07,2017-05,Uber,115831
2017-05-08,2017-05,Uber,94440
2017-05-09,2017-05,Uber,99028
2017-05-10,2017-05,Uber,103012
2017-05-11,2017-05,Uber,109633
2017-05-12,2017-05,Uber,114735
2017-05-13,2017-05,Uber,156585
2017-05-14,2017-05,Uber,110138
2017-05-15,2017-05,Uber,94259
2017-05-16,2017-05,Uber,101492
2017-05-17,2017-05,Uber,111397
2017-05-18,2017-05,Uber,119379
2017-05-19,2017-05,Uber,120980
2017-05-20,2017-05,Uber,130469
2017-05-21,2017-05,Uber,113388
2017-05-22,2017-05,Uber,105214
2017-05-23,2017-05,Uber,95565
2017-05-24,2017-05,Uber,101241
2017-05-25,2017-05,Uber,122233
2017-05-26,2017-05,Uber,102525
2017-05-27,2017-05,Uber,102778
2017-05-28,2017-05,Uber,97844
2017-05-29,2017-05,Uber,82068
2017-05-30,2017-05,Uber,88691
2017-05-31,2017-05,Uber,92925
2017-06-01,2017-06,Uber,103134
2017-06-02,2017-06,Uber,112852
2017-06-03,2017-06,Uber,125487
2017-06-04,2017-06,Uber,111320
2017-06-05,2017-06,Uber,91712
2017-06-06,2017-06,Uber,103378
2017-06-07,2017-06,Uber,104312
2017-06-08,2017-06,Uber,111128
2017-06-09,2017-06,Uber,113969
2017-06-10,2017-06,Uber,127471
2017-06-11,2017-06,Uber,110696
2017-06-12,2017-06,Uber,95601
2017-06-13,2017-06,Uber,103450
2017-06-14,2017-06,Uber,103703
2017-06-15,2017-06,Uber,107541
2017-06-16,2017-06,Uber,112471
2017-06-17,2017-06,Uber,128019
2017-06-18,2017-06,Uber,107280
2017-06-19,2017-06,Uber,103561
2017-06-20,2017-06,Uber,97520
2017-06-21,2017-06,Uber,104791
2017-06-22,2017-06,Uber,101581
2017-06-23,2017-06,Uber,119369
2017-06-24,2017-06,Uber,131084
2017-06-25,2017-06,Uber,103713
2017-06-26,2017-06,Uber,87535
2017-06-27,2017-06,Uber,96941
2017-06-28,2017-06,Uber,97031
2017-06-29,2017-06,Uber,99421
2017-06-30,2017-06,Uber,103740
2017-07-01,2017-07,Uber,105277
2017-07-02,2017-07,Uber,92117
2017-07-03,2017-07,Uber,76738
2017-07-04,2017-07,Uber,79295
2017-07-05,2017-07,Uber,81699
2017-07-06,2017-07,Uber,85671
2017-07-07,2017-07,Uber,108422
2017-07-08,2017-07,Uber,113282
2017-07-09,2017-07,Uber,102501
2017-07-10,2017-07,Uber,87140
2017-07-11,2017-07,Uber,93050
2017-07-12,2017-07,Uber,100677
2017-07-13,2017-07,Uber,108874
2017-07-14,2017-07,Uber,114819
2017-07-15,2017-07,Uber,118922
2017-07-16,2017-07,Uber,108533
2017-07-17,2017-07,Uber,89403
2017-07-18,2017-07,Uber,96197
2017-07-19,2017-07,Uber,102708
2017-07-20,2017-07,Uber,109853
2017-07-21,2017-07,Uber,112770
2017-07-22,2017-07,Uber,121873
2017-07-23,2017-07,Uber,106482
2017-07-24,2017-07,Uber,92934
2017-07-25,2017-07,Uber,88589
2017-07-26,2017-07,Uber,93705
2017-07-27,2017-07,Uber,102652
2017-07-28,2017-07,Uber,108870
2017-07-29,2017-07,Uber,117735
2017-07-30,2017-07,Uber,108707
2017-07-31,2017-07,Uber,88005
2017-08-01,2017-08,Uber,88781
2017-08-02,2017-08,Uber,98585
2017-08-03,2017-08,Uber,100392
2017-08-04,2017-08,Uber,106332
2017-08-05,2017-08,Uber,110654
2017-08-06,2017-08,Uber,99317
2017-08-07,2017-08,Uber,95442
2017-08-08,2017-08,Uber,86610
2017-08-09,2017-08,Uber,91066
2017-08-10,2017-08,Uber,97224
2017-08-11,2017-08,Uber,103596
2017-08-12,2017-08,Uber,111079
2017-08-13,2017-08,Uber,99656
2017-08-14,2017-08,Uber,83071
2017-08-15,2017-08,Uber,91671
2017-08-16,2017-08,Uber,91281
2017-08-17,2017-08,Uber,95477
2017-08-18,2017-08,Uber,110283
2017-08-19,2017-08,Uber,115285
2017-08-20,2017-08,Uber,105173
2017-08-21,2017-08,Uber,85656
2017-08-22,2017-08,Uber,93303
2017-08-23,2017-08,Uber,93446
2017-08-24,2017-08,Uber,95280
2017-08-25,2017-08,Uber,101928
2017-08-26,2017-08,Uber,114823
2017-08-27,2017-08,Uber,104644
2017-08-28,2017-08,Uber,82730
2017-08-29,2017-08,Uber,98599
