pickup_date,pickup_month,affiliated_base,trips
2015-02-04,2015-02,B02453,68
2015-02-04,2015-02,B02459,2
2015-02-04,2015-02,B02460,2
2015-02-04,2015-02,B02468,4
2015-02-04,2015-02,B02469,15
2015-02-04,2015-02,B02472,6
2015-02-04,2015-02,B02480,1
2015-02-04,2015-02,B02489,3
2015-02-04,2015-02,B02492,20
2015-02-04,2015-02,B02499,7
2015-02-04,2015-02,B02503,7
2015-02-04,2015-02,B02507,14
2015-02-04,2015-02,B02512,1246
2015-02-04,2015-02,B02514,3
2015-02-04,2015-02,B02515,1
2015-02-04,2015-02,B02532,16
2015-02-04,2015-02,B02533,20
2015-02-04,2015-02,B02554,12
2015-02-04,2015-02,B02588,17
2015-02-04,2015-02,B02597,1
2015-02-04,2015-02,B02598,8187
2015-02-04,2015-02,B02609,30
2015-02-04,2015-02,B02617,11330
2015-02-04,2015-02,B02630,4
2015-02-04,2015-02,B02633,8
2015-02-04,2015-02,B02642,3
2015-02-04,2015-02,B02644,79
2015-02-04,2015-02,B02646,47
2015-02-04,2015-02,B02651,48
2015-02-04,2015-02,B02655,31
2015-02-04,2015-02,B02662,11
2015-02-04,2015-02,B02664,6
2015-02-04,2015-02,B02668,9
2015-02-04,2015-02,B02670,8
2015-02-04,2015-02,B02680,9
2015-02-04,2015-02,B02682,9333
2015-02-04,2015-02,B02683,7
2015-02-04,2015-02,B02686,4
2015-02-04,2015-02,B02689,3
2015-02-04,2015-02,B02691,12
2015-02-04,2015-02,B02699,15
2015-02-04,2015-02,B02700,1
2015-02-04,2015-02,B02712,14
2015-02-04,2015-02,B02715,151
2015-02-04,2015-02,B02723,11
2015-02-04,2015-02,B02724,2
2015-02-04,2015-02,B02725,12
2015-02-04,2015-02,B02729,985
2015-02-04,2015-02,B02732,5
2015-02-04,2015-02,B02739,19
2015-02-04,2015-02,B02747,4
2015-02-04,2015-02,B02749,40
2015-02-04,2015-02,B02763,27
2015-02-04,2015-02,B02764,24909
2015-02-04,2015-02,B02765,2281
2015-02-04,2015-02,B02767,3
2015-02-04,2015-02,B02769,21
2015-02-04,2015-02,B02770,36
2015-02-04,2015-02,B02771,37
2015-02-04,2015-02,B02772,14
2015-02-04,2015-02,B02773,8
2015-02-04,2015-02,B02774,403
2015-02-04,2015-02,B02780,11
2015-02-04,2015-02,B02787,24
2015-02-04,2015-02,B02788,234
2015-02-04,2015-02,B02789,134
2015-02-04,2015-02,B02795,13
2015-02-04,2015-02,B02800,2
2015-02-04,2015-02,B02806,25
2015-02-04,2015-02,B02810,15
2015-02-04,2015-02,B02814,1
2015-02-04,2015-02,B02815,27
2015-02-04,2015-02,B02818,125
2015-02-04,2015-02,B02820,9
2015-02-04,2015-02,B02822,3
2015-02-04,2015-02,B02826,7
2015-02-04,2015-02,B02834,5
2015-02-04,2015-02,B02835,10
2015-02-04,2015-02,,2704
2015-02-05,2015-02,B00013,93
2015-02-05,2015-02,B00014,80
2015-02-05,2015-02,B00035,7
2015-02-05,2015-02,B00053,167
2015-02-05,2015-02,B00083,14
2015-02-05,2015-02,B00111,451
2015-02-05,2015-02,B00202,4
2015-02-05,2015-02,B00208,1
2015-02-05,2015-02,B00227,241
2015-02-05,2015-02,B00235,7
2015-02-05,2015-02,B00236,1
2015-02-05,2015-02,B00254,63
2015-02-05,2015-02,B00271,217
2015-02-05,2015-02,B00272,262
2015-02-05,2015-02,B00277,66
2015-02-05,2015-02,B00280,133
2015-02-05,2015-02,B00296,29
2015-02-05,2015-02,B00381,51
2015-02-05,2015-02,B00411,13
2015-02-05,2015-02,B00412,83
2015-02-05,2015-02,B00446,115
2015-02-05,2015-02,B00448,290
2015-02-05,2015-02,B00477,224
2015-02-05,2015-02,B00608,21
2015-02-05,2015-02,B00623,1
2015-02-05,2015-02,B00628,259
2015-02-05,2015-02,B00789,270
2015-02-05,2015-02,B00837,67
2015-02-05,2015-02,B00888,32
2015-02-05,2015-02,B01087,293
2015-02-05,2015-02,B01183,20
2015-02-05,2015-02,B01197,174
2015-02-05,2015-02,B01367,96
2015-02-05,2015-02,B01779,19
2015-02-05,2015-02,B01803,4
2015-02-05,2015-02,B01871,2
2015-02-05,2015-02,B01875,57
2015-02-05,2015-02,B01877,51
2015-02-05,2015-02,B01899,130
2015-02-05,2015-02,B01907,4
2015-02-05,2015-02,B01912,7
2015-02-05,2015-02,B01913,4
2015-02-05,2015-02,B01949,139
2015-02-05,2015-02,B01970,3
2015-02-05,2015-02,B01976,20
2015-02-05,2015-02,B01985,38
2015-02-05,2015-02,B01989,8
2015-02-05,2015-02,B01990,2
2015-02-05,2015-02,B01998,222
2015-02-05,2015-02,B02003,101
2015-02-05,2015-02,B02005,10
2015-02-05,2015-02,B02011,1
2015-02-05,2015-02,B02016,28
2015-02-05,2015-02,B02022,14
2015-02-05,2015-02,B02027,4
2015-02-05,2015-02,B02067,82
2015-02-05,2015-02,B02073,3
2015-02-05,2015-02,B02096,33
2015-02-05,2015-02,B02101,90
2015-02-05,2015-02,B02110,12
2015-02-05,2015-02,B02127,6
2015-02-05,2015-02,B02133,20
2015-02-05,2015-02,B02147,3
