pickup_date,pickup_month,borough,trips
2015-02-22,2015-02,Brooklyn,12024
2015-02-22,2015-02,EWR,1
2015-02-22,2015-02,Manhattan,47620
2015-02-22,2015-02,Queens,7174
2015-02-22,2015-02,Staten Island,19
2015-02-22,2015-02,Unknown,41
2015-02-23,2015-02,Bronx,1000
2015-02-23,2015-02,Brooklyn,9942
2015-02-23,2015-02,Manhattan,54018
2015-02-23,2015-02,Queens,7465
2015-02-23,2015-02,Staten Island,35
2015-02-23,2015-02,Unknown,34
2015-02-24,2015-02,Bronx,1048
2015-02-24,2015-02,Brooklyn,9915
2015-02-24,2015-02,Manhattan,63366
2015-02-24,2015-02,Queens,6120
2015-02-24,2015-02,Staten Island,38
2015-02-24,2015-02,Unknown,33
2015-02-25,2015-02,Bronx,1095
2015-02-25,2015-02,Brooklyn,9756
2015-02-25,2015-02,EWR,1
2015-02-25,2015-02,Manhattan,59039
2015-02-25,2015-02,Queens,6046
2015-02-25,2015-02,Staten Island,24
2015-02-25,2015-02,Unknown,31
2015-02-26,2015-02,Bronx,1075
2015-02-26,2015-02,Brooklyn,10803
2015-02-26,2015-02,EWR,2
2015-02-26,2015-02,Manhattan,66299
2015-02-26,2015-02,Queens,6578
2015-02-26,2015-02,Staten Island,47
2015-02-26,2015-02,Unknown,36
2015-02-27,2015-02,Bronx,1232
2015-02-27,2015-02,Brooklyn,12556
2015-02-27,2015-02,EWR,1
2015-02-27,2015-02,Manhattan,69030
2015-02-27,2015-02,Queens,7309
2015-02-27,2015-02,Staten Island,40
2015-02-27,2015-02,Unknown,49
2015-02-28,2015-02,Bronx,1390
2015-02-28,2015-02,Brooklyn,16361
2015-02-28,2015-02,Manhattan,64480
2015-02-28,2015-02,Queens,7418
2015-02-28,2015-02,Staten Island,34
2015-02-28,2015-02,Unknown,33
2015-03-01,2015-03,Bronx,1080
2015-03-01,2015-03,Brooklyn,12870
2015-03-01,2015-03,Manhattan,49565
2015-03-01,2015-03,Queens,7257
2015-03-01,2015-03,Staten Island,42
