pickup_date,pickup_month,borough,trips,year,month,month_name,weekday,weekday_num,week_start,is_weekend,is_month_start,is_month_end,holiday_name,is_federal_holiday,nyc_event,has_nyc_event,weather_code,temperature_2m_max,temperature_2m_min,temperature_avg_f,apparent_temperature_max,apparent_temperature_min,apparent_temperature_avg_f,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,has_rain,has_snow,has_precipitation
2015-02-28,2015-02,Bronx,1390,2015,2,February,Saturday,5,2015-02-23,True,False,True,,False,,False,1,25.0,0.1,12.55,17.8,-9.3,4.25,0.0,0.0,0.0,0.0,6.7,False,False,False
2015-02-28,2015-02,Brooklyn,16361,2015,2,February,Saturday,5,2015-02-23,True,False,True,,False,,False,1,25.0,0.1,12.55,17.8,-9.3,4.25,0.0,0.0,0.0,0.0,6.7,False,False,False
2015-02-28,2015-02,Manhattan,64480,2015,2,February,Saturday,5,2015-02-23,True,False,True,,False,,False,1,25.0,0.1,12.55,17.8,-9.3,4.25,0.0,0.0,0.0,0.0,6.7,False,False,False
2015-02-28,2015-02,Queens,7418,2015,2,February,Saturday,5,2015-02-23,True,False,True,,False,,False,1,25.0,0.1,12.55,17.8,-9.3,4.25,0.0,0.0,0.0,0.0,6.7,False,False,False
2015-02-28,2015-02,Staten Island,34,2015,2,February,Saturday,5,2015-02-23,True,False,True,,False,,False,1,25.0,0.1,12.55,17.8,-9.3,4.25,0.0,0.0,0.0,0.0,6.7,False,False,False
2015-02-28,2015-02,Unknown,33,2015,2,February,Saturday,5,2015-02-23,True,False,True,,False,,False,1,25.0,0.1,12.55,17.8,-9.3,4.25,0.0,0.0,0.0,0.0,6.7,False,False,False
2015-03-01,2015-03,Bronx,1080,2015,3,March,Sunday,6,2015-02-23,True,True,False,,False,,False,75,28.9,14.7,21.799999999999997,20.6,6.2,13.4,0.461,0.012,3.169,11.0,6.7,True,True,True
2015-03-01,2015-03,Brooklyn,12870,2015,3,March,Sunday,6,2015-02-23,True,True,False,,False,,False,75,28.9,14.7,21.799999999999997,20.6,6.2,13.4,0.461,0.012,3.169,11.0,6.7,True,True,True
2015-03-01,2015-03,Manhattan,49565,2015,3,March,Sunday,6,2015-02-23,True,True,False,,False,,False,75,28.9,14.7,21.799999999999997,20.6,6.2,13.4,0.461,0.012,3.169,11.0,6.7,True,True,True
2015-03-01,2015-03,Queens,7257,2015,3,March,Sunday,6,2015-02-23,True,True,False,,False,,False,75,28.9,14.7,21.799999999999997,20.6,6.2,13.4,0.461,0.012,3.169,11.0,6.7,True,True,True
