pickup_date,pickup_month,base,base_name,trips,vehicles
2015-06-23,2015-06,B00888,ACE C/L SVCE INC,148,38
2015-06-23,2015-06,B00889,MEXICANA CAR SERVICE INC.,640,75
2015-06-23,2015-06,B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,72,12
2015-06-23,2015-06,B00941,PERSONAL TOUCH C/S,52,0
2015-06-23,2015-06,B00948,510 CAR SERVICE CORP,580,56
2015-06-23,2015-06,B00991,P F MANAGEMENT INC,54,22
2015-06-23,2015-06,B01009,UNITED LIMO C/M SVC CORP,62,7
2015-06-23,2015-06,B01016,810 CAR SVCE CORP,821,69
2015-06-23,2015-06,B01039,NYC WHEELS CAR SERVICE INC.,10,10
2015-06-23,2015-06,B01048,HILLSIDE 24 HOURS RADIO DISPATCH INC,140,9
2015-06-23,2015-06,B01129,GTWY INC,267,20
2015-06-23,2015-06,B01148,EVELYN CAR SERVICE INC,347,48
2015-06-23,2015-06,B01197,"TEL-A-CAR OF NEW YORK, LLC",282,79
2015-06-23,2015-06,B01269,DIVISION CAR & LIMO INC.,41,7
2015-06-23,2015-06,B01292,SHEPREID CAR SERVICE AND LIMOUSINE CORP.,63,6
2015-06-23,2015-06,B01306,"R N D TRANSPORTATION, INC.",38,11
2015-06-23,2015-06,B01308,LIL'D DISPATCH INC.,45,22
2015-06-23,2015-06,B01313,JOY CAR SERVICES INC.,21,16
2015-06-23,2015-06,B01318,LOWER EAST SIDE C/S CORP,862,92
2015-06-23,2015-06,B01340,UNICAR COMPANY INC,932,128
2015-06-23,2015-06,B01343,ALL PEOPLE CAR SERVICE INC.,184,0
2015-06-23,2015-06,B01346,ARECIBO C/S INC,72,9
2015-06-23,2015-06,B01351,HADERECH CAR SERVICE INC,17,5
2015-06-23,2015-06,B01355,NEW HARLEM C/S INC,480,46
2015-06-23,2015-06,B01367,"ROYAL DISPATCH SERVICES, INC.",312,93
2015-06-23,2015-06,B01379,J.J.S. TRANSPORTATION CO. INC.,94,6
2015-06-23,2015-06,B01391,ROSE 'N' DALE C/S INC,110,12
2015-06-23,2015-06,B01398,ALEX EXP C/L INC,1,0
2015-06-23,2015-06,B01417,NESHER EXPRESS CAR SERVICE 2 INC.,309,0
2015-06-23,2015-06,B01432,TOVAR TRANSPORTATION INC,377,26
2015-06-23,2015-06,B01445,J T TRANS CO INC,198,54
2015-06-23,2015-06,B01475,"MIDWOOD VS, INC",1,0
2015-06-23,2015-06,B01478,"UNIWORLD BROTHERS ENTERPRISES, INC.",91,12
2015-06-23,2015-06,B01509,"BRUNWISH ENTERPRISES,LTD.",841,74
2015-06-23,2015-06,B01522,"STM ENTERPRISES,INC",87,16
2015-06-23,2015-06,B01559,MUNKACS CAR SVC LTD,401,23
2015-06-23,2015-06,B01606,LA MEXICANA EXPRESS INC.,1625,120
2015-06-23,2015-06,B01608,JERUSALEM CAR COM.INC.,31,7
2015-06-23,2015-06,B01623,JAMAICA EXPRESS CAR SERVICE INC.,57,10
2015-06-23,2015-06,B01625,GLOBE CAR SERVICE INC,101,10
2015-06-23,2015-06,B01626,LA NUEVA QUISQUEYA C/S INC,1386,121
2015-06-23,2015-06,B01635,HAR-SINAY CAR & LIMO SVC INC,38,8
2015-06-23,2015-06,B01672,NEW DAYNIGHT CAR SVCE,44,21
2015-06-23,2015-06,B01721,W.K. CAR & LIMO SERVICE INC,385,62
2015-06-23,2015-06,B01726,SUPER CLASS RADIO DISP INC,920,146
2015-06-23,2015-06,B01727,"CHAUFFEUR SERVICES, INC.",5,2
2015-06-23,2015-06,B01730,LUCKY EXPRESS CORPORATION,7,6
2015-06-23,2015-06,B01779,APEX CAR & LIMO SVCE INC,56,22
2015-06-23,2015-06,B01818,"TA-TA TRANSPORTATION, INC.",6,5
2015-06-23,2015-06,B01846,ROMANTIQUE LIMOUSINE INC.,2,2
2015-06-23,2015-06,B01849,JOE PAL LIMOUSINE LTD,5,3
2015-06-23,2015-06,B01875,ON LINE LIMOUSINE LLC,260,57
2015-06-23,2015-06,B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,2,2
2015-06-23,2015-06,B01877,U.S.A. LIMO. INC.,366,118
2015-06-23,2015-06,B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",829,98
2015-06-23,2015-06,B01912,"CAR 24 TRANSPORTATION, INC",15,0
2015-06-23,2015-06,B01923,"AVID INTERNATIONAL, INC.",47,13
2015-06-23,2015-06,B01928,DISCOVER LIMO INC,3,2
2015-06-23,2015-06,B01957,"ANIMO, INC",6,2
2015-06-23,2015-06,B01970,GRAFE STREET SERVICE CORP.,7,4
2015-06-23,2015-06,B01979,DREAMLAND CAR & LIMO.SVC INC.,1,1
2015-06-23,2015-06,B01980,"READY TO ROLL TRANSPORTATION, INC.",32,19
2015-06-23,2015-06,B01984,NY 88 EXPRESS CORP.,770,123
2015-06-23,2015-06,B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,56,12
2015-06-23,2015-06,B01998,FIRST CORPORATE SEDANS INC.,622,236
2015-06-23,2015-06,B02003,"AVALON CORPORATE CAR,INC.",190,73
2015-06-23,2015-06,B02021,EASYRIDE CAR SERVICE INC.,49,5
2015-06-23,2015-06,B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,28,12
2015-06-23,2015-06,B02073,"STARGATE LIMOUSINE, INC.",14,6
2015-06-23,2015-06,B02096,"CET GROUP, INC",9,8
2015-06-23,2015-06,B02099,SUNNY'S LIMOUSINE SERVICE INC,220,70
2015-06-23,2015-06,B02106,"PERFECT LIMO SERVICE, INC.",9,0
2015-06-23,2015-06,B02110,"OPTIMUM CAR & LIMO, INC.",118,10
2015-06-23,2015-06,B02133,"TWR CAR & LIMO, INC.",94,31
2015-06-23,2015-06,B02138,"GUADALUPANA CAR LIMO, INC",179,22
2015-06-23,2015-06,B02147,"MITA LIMOUSINE, INC.",35,17
