pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches,cbd_congestion_fees
2019-02-22,2019-02,HV0003,Uber,Bronx,74686,303638.15,73527288,767697.21,11285.54,908278.81,0.0,6712.75,24801,17762,0.0
2019-02-22,2019-02,HV0003,Uber,Brooklyn,127184,514557.11,137904369,1635549.39,34721.07,1659453.05,0.0,34196.0,40098,30333,0.0
2019-02-22,2019-02,HV0003,Uber,EWR,2,5.55,1647,45.48,0.0,33.2,0.0,0.0,0,0,0.0
2019-02-22,2019-02,HV0003,Uber,Manhattan,234850,1050302.17,281091737,3911286.53,117418.59,3910156.64,0.0,471803.75,48485,39478,0.0
2019-02-22,2019-02,HV0003,Uber,Queens,88634,570390.21,105954287,1670179.72,50935.31,1640148.14,0.0,27937.0,25231,14921,0.0
2019-02-22,2019-02,HV0003,Uber,Staten Island,6468,33494.6,5925030,91816.72,3478.86,92535.02,0.0,389.0,2165,1243,0.0
2019-02-22,2019-02,HV0003,Uber,Unknown,31,112.71,23495,522.03,3.5,481.93,0.0,2.75,9,3,0.0
2019-02-23,2019-02,HV0003,Uber,Bronx,83255,357180.07,78370344,840932.27,12152.95,1016994.84,0.0,8705.75,25114,18630,0.0
2019-02-23,2019-02,HV0003,Uber,Brooklyn,160428,676030.77,171732079,2055475.18,46031.61,2132763.82,0.0,54639.25,46259,36593,0.0
2019-02-23,2019-02,HV0003,Uber,Manhattan,264895,1133737.7,296074980,4036982.51,113768.9,4092298.08,0.0,538586.5,52120,43030,0.0
2019-02-23,2019-02,HV0003,Uber,Queens,99932,604685.83,111263176,1623030.97,47530.38,1671886.97,0.0,30031.75,29998,20035,0.0
2019-02-23,2019-02,HV0003,Uber,Staten Island,6997,39147.41,6551861,101984.03,3707.22,105071.22,0.0,628.25,2268,1267,0.0
2019-02-23,2019-02,HV0003,Uber,Unknown,31,159.48000000000002,28067,499.79,3.0,540.86,0.0,2.75,6,2,0.0
2019-02-24,2019-02,HV0003,Uber,Bronx,71896,306612.25,62960757,696072.72,9729.96,841114.58,0.0,6557.25,21964,16010,0.0
