pickup_date,pickup_month,dispatching_base,trips
2015-04-09,2015-04,B02765,7831
2015-04-10,2015-04,B02512,480
2015-04-10,2015-04,B02598,8611
2015-04-10,2015-04,B02617,11576
2015-04-10,2015-04,B02682,18658
2015-04-10,2015-04,B02764,33486
2015-04-10,2015-04,B02765,8628
2015-04-11,2015-04,B02512,493
2015-04-11,2015-04,B02598,8487
2015-04-11,2015-04,B02617,11265
2015-04-11,2015-04,B02682,19759
2015-04-11,2015-04,B02764,33763
2015-04-11,2015-04,B02765,8780
2015-04-12,2015-04,B02512,409
2015-04-12,2015-04,B02598,7003
2015-04-12,2015-04,B02617,9663
2015-04-12,2015-04,B02682,15524
2015-04-12,2015-04,B02764,28310
2015-04-12,2015-04,B02765,6817
2015-04-13,2015-04,B02512,426
2015-04-13,2015-04,B02598,5979
2015-04-13,2015-04,B02617,8181
2015-04-13,2015-04,B02682,13281
2015-04-13,2015-04,B02764,22810
2015-04-13,2015-04,B02765,5978
2015-04-14,2015-04,B02512,451
2015-04-14,2015-04,B02598,6930
2015-04-14,2015-04,B02617,9382
2015-04-14,2015-04,B02682,14875
2015-04-14,2015-04,B02764,25332
2015-04-14,2015-04,B02765,6423
2015-04-15,2015-04,B02512,453
2015-04-15,2015-04,B02598,7334
2015-04-15,2015-04,B02617,9945
2015-04-15,2015-04,B02682,15581
2015-04-15,2015-04,B02764,26650
2015-04-15,2015-04,B02765,6571
2015-04-16,2015-04,B02512,512
2015-04-16,2015-04,B02598,9004
2015-04-16,2015-04,B02617,11714
2015-04-16,2015-04,B02682,18442
2015-04-16,2015-04,B02764,31129
2015-04-16,2015-04,B02765,8007
2015-04-17,2015-04,B02512,453
2015-04-17,2015-04,B02598,9147
2015-04-17,2015-04,B02617,12042
2015-04-17,2015-04,B02682,20305
2015-04-17,2015-04,B02764,33198
2015-04-17,2015-04,B02765,8710
2015-04-18,2015-04,B02512,519
2015-04-18,2015-04,B02598,9448
2015-04-18,2015-04,B02617,13287
2015-04-18,2015-04,B02682,23304
2015-04-18,2015-04,B02764,38314
2015-04-18,2015-04,B02765,9324
2015-04-19,2015-04,B02512,452
2015-04-19,2015-04,B02598,8049
2015-04-19,2015-04,B02617,10840
2015-04-19,2015-04,B02682,18860
2015-04-19,2015-04,B02764,32263
2015-04-19,2015-04,B02765,7643
2015-04-20,2015-04,B02512,529
2015-04-20,2015-04,B02598,8521
2015-04-20,2015-04,B02617,11481
2015-04-20,2015-04,B02682,19270
2015-04-20,2015-04,B02764,30662
2015-04-20,2015-04,B02765,7613
2015-04-21,2015-04,B02512,437
2015-04-21,2015-04,B02598,7411
2015-04-21,2015-04,B02617,10042
2015-04-21,2015-04,B02682,16673
2015-04-21,2015-04,B02764,27421
2015-04-21,2015-04,B02765,6728
2015-04-22,2015-04,B02512,531
2015-04-22,2015-04,B02598,8911
2015-04-22,2015-04,B02617,12168
2015-04-22,2015-04,B02682,20189
2015-04-22,2015-04,B02764,32010
2015-04-22,2015-04,B02765,8315
2015-04-23,2015-04,B02512,511
2015-04-23,2015-04,B02598,10415
2015-04-23,2015-04,B02617,13628
2015-04-23,2015-04,B02682,22601
2015-04-23,2015-04,B02764,35899
2015-04-23,2015-04,B02765,9056
2015-04-24,2015-04,B02512,596
2015-04-24,2015-04,B02598,10908
2015-04-24,2015-04,B02617,14332
2015-04-24,2015-04,B02682,24790
2015-04-24,2015-04,B02764,39026
2015-04-24,2015-04,B02765,10036
2015-04-25,2015-04,B02512,636
2015-04-25,2015-04,B02598,10819
2015-04-25,2015-04,B02617,13907
2015-04-25,2015-04,B02682,27090
2015-04-25,2015-04,B02764,43169
2015-04-25,2015-04,B02765,10649
2015-04-26,2015-04,B02512,474
2015-04-26,2015-04,B02598,9036
2015-04-26,2015-04,B02617,12049
2015-04-26,2015-04,B02682,21777
2015-04-26,2015-04,B02764,36443
2015-04-26,2015-04,B02765,8894
2015-04-27,2015-04,B02512,487
2015-04-27,2015-04,B02598,6922
2015-04-27,2015-04,B02617,9101
2015-04-27,2015-04,B02682,16436
2015-04-27,2015-04,B02764,25395
2015-04-27,2015-04,B02765,6442
2015-04-28,2015-04,B02512,530
2015-04-28,2015-04,B02598,7077
2015-04-28,2015-04,B02617,9508
2015-04-28,2015-04,B02682,17644
2015-04-28,2015-04,B02764,27115
2015-04-28,2015-04,B02765,6989
2015-04-29,2015-04,B02512,505
2015-04-29,2015-04,B02598,8119
2015-04-29,2015-04,B02617,10823
2015-04-29,2015-04,B02682,19642
2015-04-29,2015-04,B02764,29325
2015-04-29,2015-04,B02765,7526
2015-04-30,2015-04,B02512,521
2015-04-30,2015-04,B02598,9098
2015-04-30,2015-04,B02617,12058
2015-04-30,2015-04,B02682,21686
2015-04-30,2015-04,B02764,32672
2015-04-30,2015-04,B02765,8295
2015-05-01,2015-05,B02512,1779
2015-05-01,2015-05,B02598,8930
2015-05-01,2015-05,B02617,11872
2015-05-01,2015-05,B02682,26039
2015-05-01,2015-05,B02764,34478
2015-05-01,2015-05,B02765,9231
2015-05-02,2015-05,B02512,1774
2015-05-02,2015-05,B02598,9330
2015-05-02,2015-05,B02617,12734
2015-05-02,2015-05,B02682,30380
2015-05-02,2015-05,B02764,40140
2015-05-02,2015-05,B02765,10620
2015-05-03,2015-05,B02512,1352
