pickup_date,pickup_month,hour,company,trips
2015-05-23,2015-05,11,Uber,3159
2015-05-23,2015-05,12,Uber,3395
2015-05-23,2015-05,13,Uber,3338
2015-05-23,2015-05,14,Uber,3340
2015-05-23,2015-05,15,Uber,3492
2015-05-23,2015-05,16,Uber,4043
2015-05-23,2015-05,17,Uber,4797
2015-05-23,2015-05,18,Uber,4527
2015-05-23,2015-05,19,Uber,4752
2015-05-23,2015-05,20,Uber,4380
2015-05-23,2015-05,21,Uber,4601
2015-05-23,2015-05,22,Uber,5036
2015-05-23,2015-05,23,Uber,5042
2015-05-24,2015-05,0,Uber,4752
2015-05-24,2015-05,1,Uber,3361
2015-05-24,2015-05,2,Uber,2418
2015-05-24,2015-05,3,Uber,1866
2015-05-24,2015-05,4,Uber,1389
2015-05-24,2015-05,5,Uber,891
2015-05-24,2015-05,6,Uber,822
2015-05-24,2015-05,7,Uber,942
2015-05-24,2015-05,8,Uber,1211
2015-05-24,2015-05,9,Uber,1735
2015-05-24,2015-05,10,Uber,2389
2015-05-24,2015-05,11,Uber,2869
2015-05-24,2015-05,12,Uber,3003
2015-05-24,2015-05,13,Uber,3230
2015-05-24,2015-05,14,Uber,3472
2015-05-24,2015-05,15,Uber,3484
2015-05-24,2015-05,16,Uber,3626
2015-05-24,2015-05,17,Uber,3855
2015-05-24,2015-05,18,Uber,3831
2015-05-24,2015-05,19,Uber,3881
2015-05-24,2015-05,20,Uber,3644
2015-05-24,2015-05,21,Uber,3657
2015-05-24,2015-05,22,Uber,3909
2015-05-24,2015-05,23,Uber,4077
2015-05-25,2015-05,0,Uber,3434
2015-05-25,2015-05,1,Uber,2433
2015-05-25,2015-05,2,Uber,1628
2015-05-25,2015-05,3,Uber,1160
2015-05-25,2015-05,4,Uber,964
2015-05-25,2015-05,5,Uber,809
2015-05-25,2015-05,6,Uber,903
2015-05-25,2015-05,7,Uber,896
2015-05-25,2015-05,8,Uber,1138
2015-05-25,2015-05,9,Uber,1565
2015-05-25,2015-05,10,Uber,1964
2015-05-25,2015-05,11,Uber,2321
2015-05-25,2015-05,12,Uber,2543
2015-05-25,2015-05,13,Uber,2811
2015-05-25,2015-05,14,Uber,3043
2015-05-25,2015-05,15,Uber,3326
2015-05-25,2015-05,16,Uber,3557
2015-05-25,2015-05,17,Uber,3711
2015-05-25,2015-05,18,Uber,3893
2015-05-25,2015-05,19,Uber,3828
2015-05-25,2015-05,20,Uber,3592
2015-05-25,2015-05,21,Uber,3679
2015-05-25,2015-05,22,Uber,3514
2015-05-25,2015-05,23,Uber,3027
2015-05-26,2015-05,0,Uber,2000
2015-05-26,2015-05,1,Uber,957
2015-05-26,2015-05,2,Uber,603
2015-05-26,2015-05,3,Uber,435
2015-05-26,2015-05,4,Uber,865
2015-05-26,2015-05,5,Uber,1409
2015-05-26,2015-05,6,Uber,2132
2015-05-26,2015-05,7,Uber,3152
2015-05-26,2015-05,8,Uber,3913
2015-05-26,2015-05,9,Uber,3695
2015-05-26,2015-05,10,Uber,2991
2015-05-26,2015-05,11,Uber,2692
2015-05-26,2015-05,12,Uber,2705
2015-05-26,2015-05,13,Uber,2820
2015-05-26,2015-05,14,Uber,3207
2015-05-26,2015-05,15,Uber,3623
2015-05-26,2015-05,16,Uber,4014
2015-05-26,2015-05,17,Uber,4732
2015-05-26,2015-05,18,Uber,5198
2015-05-26,2015-05,19,Uber,4684
2015-05-26,2015-05,20,Uber,4512
2015-05-26,2015-05,21,Uber,4664
2015-05-26,2015-05,22,Uber,4284
2015-05-26,2015-05,23,Uber,3523
2015-05-27,2015-05,0,Uber,2143
2015-05-27,2015-05,1,Uber,1218
2015-05-27,2015-05,2,Uber,714
2015-05-27,2015-05,3,Uber,496
2015-05-27,2015-05,4,Uber,708
2015-05-27,2015-05,5,Uber,1210
2015-05-27,2015-05,6,Uber,2069
2015-05-27,2015-05,7,Uber,3444
2015-05-27,2015-05,8,Uber,4486
2015-05-27,2015-05,9,Uber,4159
2015-05-27,2015-05,10,Uber,3158
2015-05-27,2015-05,11,Uber,2966
2015-05-27,2015-05,12,Uber,3148
2015-05-27,2015-05,13,Uber,3038
2015-05-27,2015-05,14,Uber,3369
2015-05-27,2015-05,15,Uber,3963
2015-05-27,2015-05,16,Uber,4475
2015-05-27,2015-05,17,Uber,5156
2015-05-27,2015-05,18,Uber,6111
2015-05-27,2015-05,19,Uber,7251
2015-05-27,2015-05,20,Uber,8075
2015-05-27,2015-05,21,Uber,7015
2015-05-27,2015-05,22,Uber,6024
2015-05-27,2015-05,23,Uber,4261
2015-05-28,2015-05,0,Uber,2850
2015-05-28,2015-05,1,Uber,1526
2015-05-28,2015-05,2,Uber,858
2015-05-28,2015-05,3,Uber,621
2015-05-28,2015-05,4,Uber,847
2015-05-28,2015-05,5,Uber,1268
2015-05-28,2015-05,6,Uber,2086
2015-05-28,2015-05,7,Uber,3636
2015-05-28,2015-05,8,Uber,4601
