pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-05-12,2025-05,HV0003,Uber,Queens,99318,678675.21,142555155,3336700.48,185804.05000000002,2588279.61,68347.5,42053.75,21759.0,4691,2160
2025-05-12,2025-05,HV0003,Uber,Staten Island,7601,41169.26,7616278,172848.54,7160.56,144565.13,533.75,505.75,223.5,602,140
2025-05-12,2025-05,HV0003,Uber,Unknown,13,120.03,17167,468.23,0.0,365.28,0.0,0.0,3.0,1,0
2025-05-13,2025-05,HV0003,Uber,Bronx,60688,249590.83000000002,64897344,1190517.59,22320.45,1039641.2,1752.5,7486.25,2742.0,3129,1472
2025-05-13,2025-05,HV0003,Uber,Brooklyn,110735,438519.07,127042583,2485965.66,94232.45,2007016.0999999999,10668.75,28565.5,14856.0,5573,3082
2025-05-13,2025-05,HV0003,Uber,Manhattan,181700,923761.92,245822880,6933003.99,416809.5,4497952.1899999995,30941.25,411018.75,215577.0,4085,2424
2025-05-13,2025-05,HV0003,Uber,Queens,98186,608355.91,131594630,3061659.71,166484.24,2360517.91,56686.25,37183.5,19014.0,4949,2242
2025-05-13,2025-05,HV0003,Uber,Staten Island,7805,39178.29,7689079,167316.84,7324.51,140891.67,401.25,446.0,222.0,588,108
2025-05-13,2025-05,HV0003,Uber,Unknown,20,91.23,16468,433.75,26.16,344.68,2.5,0.0,3.0,1,1
2025-05-14,2025-05,HV0003,Uber,Bronx,66596,267208.19,69175449,1300434.7,23347.97,1126649.32,1971.25,8073.25,3069.0,3880,1967
2025-05-14,2025-05,HV0003,Uber,Brooklyn,131094,498222.97,152301209,3060711.07,111458.63,2478295.0,12360.0,33055.75,17610.0,7119,4175
2025-05-14,2025-05,HV0003,Uber,Manhattan,214995,1058170.77,308774041,8933420.34,519952.02,5903748.23,40418.75,492363.75,257445.0,5028,3104
2025-05-14,2025-05,HV0003,Uber,Queens,109085,657630.14,148376987,3364418.89,179415.9,2617412.74,59128.75,36636.75,18622.5,6194,2982
2025-05-14,2025-05,HV0003,Uber,Staten Island,8679,42765.74,8809947,192519.82,8422.14,167070.49,465.0,547.25,265.5,737,168
2025-05-14,2025-05,HV0003,Uber,Unknown,22,120.72,23430,539.4,15.0,462.31,2.5,0.0,3.0,2,0
2025-05-15,2025-05,HV0003,Uber,Bronx,67050,290099.4,74228467,1400187.57,24851.3,1226663.17,2182.5,10077.75,3868.5,3883,2052
2025-05-15,2025-05,HV0003,Uber,Brooklyn,124562,517415.22,151184540,2941253.07,99397.72,2374031.83,14455.0,32988.25,17400.0,6735,3983
2025-05-15,2025-05,HV0003,Uber,Manhattan,191198,1108959.75,281769467,7991580.24,407889.29000000004,5277540.47,50430.0,422368.75,225742.5,4834,3096
2025-05-15,2025-05,HV0003,Uber,Queens,108687,732415.1,162239133,3674499.06,183669.39,2892092.9,71797.5,38270.5,19287.0,5821,2865
2025-05-15,2025-05,HV0003,Uber,Staten Island,8556,45163.08,8681543,193646.99,6983.25,160843.6,541.25,565.25,277.5,726,178
2025-05-15,2025-05,HV0003,Uber,Unknown,21,184.22,29261,797.35,2.39,605.53,5.0,0.0,4.5,3,2
2025-05-16,2025-05,HV0003,Uber,Bronx,72791,330197.95,84589203,1635773.09,29060.95,1428833.54,2566.25,10511.25,4021.5,3986,2187
2025-05-16,2025-05,HV0003,Uber,Brooklyn,144159,605419.03,180728967,3531425.9,118326.11,2914778.72,15536.25,39352.25,21186.0,7626,4838
2025-05-16,2025-05,HV0003,Uber,Manhattan,191251,1066007.44,283297226,7647380.74,366389.68,5395614.62,46648.75,418589.25,221647.5,5145,3352
2025-05-16,2025-05,HV0003,Uber,Queens,119964,801306.01,182307161,3930553.38,180566.63,3219304.97,70253.75,35955.75,18432.0,6278,3326
2025-05-16,2025-05,HV0003,Uber,Staten Island,9694,51556.43,9992312,222128.35,8191.139999999999,188843.31,513.75,713.0,354.0,813,234
2025-05-16,2025-05,HV0003,Uber,Unknown,22,198.82,34681,824.37,13.22,701.28,0.0,5.5,3.0,1,1
2025-05-17,2025-05,HV0003,Uber,Bronx,71041,351702.7,77710985,1589656.1600000001,30844.73,1416410.87,1942.5,12023.5,4693.5,3972,2213
2025-05-17,2025-05,HV0003,Uber,Brooklyn,165606,761820.87,210839951,4327876.26,151057.28,3663883.23,12777.5,54364.0,28843.5,8830,6149
2025-05-17,2025-05,HV0003,Uber,Manhattan,193356,1116417.65,268064524,7204341.37,313715.13,5341040.9399999995,31952.5,415328.75,224958.0,6146,4383
2025-05-17,2025-05,HV0003,Uber,Queens,120915,788803.4,160389842,3485757.33,148623.52,2953859.96,54442.5,34979.5,17637.0,6730,3853
